Local_Time,AQI,AQI_Pollutant,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative_Humidity,Temperature,Wind_Speed,Wind_Direction,BLH
2022-08-04 07:00:00,113.0,PM2.5,595.0,29.7,24.0,58.0,40.3,16.8,6,0.0,1002.6,89,28.3,4.8,132,145.0
2022-08-04 08:00:00,89.0,PM2.5,552.0,25.0,49.0,43.5,30.0,18.2,100,0.0,1002.8,83,29.5,3.8,163,360.0
2022-08-04 09:00:00,94.0,PM2.5,492.0,18.4,84.0,47.3,32.7,20.2,100,0.0,1002.6,80,30.3,1.3,214,580.0
2022-08-04 10:00:00,99.0,PM2.5,429.0,11.2,128.0,50.3,34.9,22.0,91,0.0,1002.3,76,31.5,2.7,293,680.0
2022-08-04 11:00:00,123.0,O3,414.0,8.6,154.0,55.2,38.3,21.5,95,0.0,1002.1,74,32.3,2.4,333,835.0
2022-08-04 12:00:00,159.0,O3,414.0,7.2,178.0,59.1,41.1,20.1,95,0.1,1001.6,73,32.9,1.8,360,935.0
2022-08-04 13:00:00,180.0,O3,427.0,8.4,194.0,62.6,43.5,19.0,99,0.3,1000.6,70,33.3,1.5,135,1050.0
2022-08-04 14:00:00,172.0,O3,438.0,11.5,188.0,67.1,46.6,19.6,100,0.2,999.6,68,33.5,3.8,107,1065.0
2022-08-04 15:00:00,125.0,PM2.5,455.0,16.5,171.0,64.7,45.1,20.9,100,1.8,999.0,72,32.2,3.7,119,1030.0
2022-08-04 16:00:00,122.0,PM2.5,509.0,26.9,144.0,63.3,44.0,22.5,100,0.4,998.8,71,32.1,9.8,73,980.0
2022-08-04 17:00:00,131.0,PM2.5,592.0,40.3,124.0,68.2,47.5,22.8,100,0.0,998.7,82,30.2,10.5,74,340.0
2022-08-04 18:00:00,139.0,PM2.5,701.0,57.0,102.0,73.3,51.0,22.9,100,0.2,999.1,86,29.9,6.1,90,330.0
2022-08-04 19:00:00,155.0,PM2.5,891.0,78.9,83.0,89.9,62.6,22.8,100,0.0,999.9,86,29.3,8.9,111,355.0
2022-08-04 20:00:00,154.0,PM2.5,864.0,72.9,76.0,88.7,61.7,20.7,100,0.0,1000.6,86,29.2,7.6,121,320.0
2022-08-04 21:00:00,154.0,PM2.5,824.0,64.2,67.0,88.5,61.7,17.8,100,0.0,1001.1,86,29.2,7.7,127,290.0
2022-08-04 22:00:00,153.0,PM2.5,741.0,51.7,56.0,84.3,58.7,14.2,100,0.0,1001.7,88,28.8,9.7,135,300.0
2022-08-04 23:00:00,145.0,PM2.5,638.0,42.2,52.0,76.4,53.2,12.6,100,0.0,1001.4,88,28.5,7.4,151,350.0
